Severity,RaisedBy,Description,Program,RaisedAt,ResolvedAt,Duration
Warning,M002,condition-BLARF!,,2012-09-21T15:34:49Z,2012-09-21T15:35:07Z,00:00:18
Warning,M002,condition-BLARF!,,2012-09-21T15:35:56Z,2012-09-21T15:36:13Z,00:00:17
Warning,M002,condition-BLARF!,,2012-09-21T15:37:03Z,2012-09-21T15:37:20Z,00:00:17
Warning,M002,condition-BLARF!,,2012-09-21T15:38:01Z,2012-09-21T15:38:15Z,00:00:14
Warning,M002,condition-BLARF!,,2012-09-21T15:38:56Z,2012-09-21T15:39:09Z,00:00:13
Warning,M002,condition-BLARF!,,2012-09-21T15:39:56Z,2012-09-21T15:40:10Z,00:00:14
Warning,M002,condition-BLARF!,,2012-09-21T15:40:51Z,2012-09-21T15:41:04Z,00:00:13
Warning,M002,condition-BLARF!,,2012-09-21T15:41:49Z,2012-09-21T15:42:00Z,00:00:11
Warning,M002,condition-BLARF!,,2012-09-21T15:42:33Z,2012-09-21T15:42:46Z,00:00:13
Warning,M002,condition-BLARF!,,2012-09-21T15:56:59Z,2012-09-21T15:57:07Z,00:00:08
Warning,M002,condition-BLARF!,,2012-09-21T15:57:30Z,2012-09-21T15:57:39Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T15:58:00Z,2012-09-21T15:58:09Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T15:58:31Z,2012-09-21T15:58:41Z,00:00:10
Warning,M002,condition-BLARF!,,2012-09-21T15:59:04Z,2012-09-21T15:59:13Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T15:59:36Z,2012-09-21T15:59:45Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T16:00:09Z,2012-09-21T16:00:18Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T16:00:42Z,2012-09-21T16:00:51Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T16:01:14Z,2012-09-21T16:01:23Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T16:01:48Z,2012-09-21T16:01:56Z,00:00:08
Warning,M002,condition-BLARF!,,2012-09-21T16:02:20Z,2012-09-21T16:02:28Z,00:00:08
Warning,M002,condition-BLARF!,,2012-09-21T16:02:51Z,2012-09-21T16:03:00Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T16:03:23Z,2012-09-21T16:03:32Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T16:03:55Z,2012-09-21T16:04:04Z,00:00:09
Warning,M002,condition-BLARF!,,2012-09-21T16:04:27Z,2012-09-21T16:04:35Z,00:00:08
Warning,M002,condition-BLARF!,,2012-09-21T16:04:58Z,2012-09-21T16:05:05Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:05:27Z,2012-09-21T16:05:34Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:05:58Z,2012-09-21T16:06:05Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:19:49Z,2012-09-21T16:19:55Z,00:00:06
Warning,M002,condition-BLARF!,,2012-09-21T16:20:10Z,2012-09-21T16:20:17Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:20:32Z,2012-09-21T16:20:39Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:20:54Z,2012-09-21T16:21:01Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:21:16Z,2012-09-21T16:21:22Z,00:00:06
Warning,M002,condition-BLARF!,,2012-09-21T16:21:37Z,2012-09-21T16:21:44Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:21:59Z,2012-09-21T16:22:05Z,00:00:06
Warning,M002,condition-BLARF!,,2012-09-21T16:22:20Z,2012-09-21T16:22:26Z,00:00:06
Warning,M002,condition-BLARF!,,2012-09-21T16:22:40Z,2012-09-21T16:22:46Z,00:00:06
Warning,M002,condition-BLARF!,,2012-09-21T16:23:01Z,2012-09-21T16:23:07Z,00:00:06
Warning,M002,condition-BLARF!,,2012-09-21T16:23:22Z,2012-09-21T16:23:29Z,00:00:07
Warning,M002,condition-BLARF!,,2012-09-21T16:23:45Z,2012-09-21T16:23:50Z,00:00:05
Warning,M002,condition-BLARF!,,2012-09-21T16:24:02Z,2012-09-21T16:24:08Z,00:00:06
Warning,M002,condition-BLARF!,,2012-09-21T16:24:21Z,2012-09-21T16:24:25Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:24:39Z,2012-09-21T16:24:43Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:24:55Z,2012-09-21T16:25:00Z,00:00:05
Warning,M002,condition-BLARF!,,2012-09-21T16:25:13Z,2012-09-21T16:25:18Z,00:00:05
Warning,M002,condition-BLARF!,,2012-09-21T16:25:30Z,2012-09-21T16:25:34Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:25:47Z,2012-09-21T16:25:51Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:26:04Z,2012-09-21T16:26:08Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:26:21Z,2012-09-21T16:26:25Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:26:37Z,2012-09-21T16:26:41Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:26:54Z,2012-09-21T16:26:58Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:27:11Z,2012-09-21T16:27:15Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:27:27Z,2012-09-21T16:27:31Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:27:44Z,2012-09-21T16:27:48Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:28:00Z,2012-09-21T16:28:04Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:28:17Z,2012-09-21T16:28:21Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:28:33Z,2012-09-21T16:28:37Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:28:50Z,2012-09-21T16:28:54Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:29:06Z,2012-09-21T16:29:10Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:43:19Z,2012-09-21T16:43:23Z,00:00:04
Warning,M002,condition-BLARF!,,2012-09-21T16:43:32Z,2012-09-21T16:43:36Z,00:00:04
