CEchoService::initialize(int aArgc, const char *aArgv[])
3/4/2013 4:24:11 PM: FATAL   [0] CEchoService::serviceThread()
3/4/2013 4:24:16 PM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/4/2013 4:24:16 PM: FATAL   [0] CHtmlTableSnapshots::Init()
3/4/2013 4:24:17 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:17 PM: INFO    [3] GetWebBrowser TrayIcon Null
3/4/2013 4:24:17 PM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/4/2013 4:24:17 PM: FATAL   [0] CHtmlTableSnapshots::Init()
3/4/2013 4:24:18 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:18 PM: INFO    [3] GetWebBrowser TrayIcon Null
3/4/2013 4:24:18 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:19 PM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/4/2013 4:24:19 PM: FATAL   [0] CHtmlTableSnapshots::Init()
3/4/2013 4:24:19 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:19 PM: INFO    [3] GetWebBrowser TrayIcon Null
3/4/2013 4:24:19 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:19 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:20 PM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/4/2013 4:24:20 PM: FATAL   [0] CHtmlTableSnapshots::Init()
3/4/2013 4:24:20 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:20 PM: INFO    [3] GetWebBrowser TrayIcon Null
3/4/2013 4:24:20 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:20 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:20 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:21 PM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/4/2013 4:24:21 PM: FATAL   [0] CHtmlTableSnapshots::Init()
3/4/2013 4:24:21 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:21 PM: INFO    [3] GetWebBrowser TrayIcon Null
3/4/2013 4:24:21 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:21 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:21 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:21 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:22 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:22 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:22 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:22 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:22 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:23 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:23 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:23 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:23 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:23 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:24 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:24 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:24 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:24 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:24 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:25 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:25 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:25 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:25 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:25 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:26 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:26 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:26 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:26 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:26 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:27 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:27 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:27 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:27 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:27 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:28 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:28 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:28 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:28 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:28 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:29 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
